"sample_id","well_id","time_of_max_rate_OD","max_rate_OD","doubling_time_OD","AUC_OD","time_of_max_OD","max_OD","time_of_min_OD","min_OD","end_point_OD","end_point_timepoint_OD","well_row","well_col","well","experiment","plate","replicate","strain_group.x","sd","outlier_sd","outlier_mad","outlier_tukey","proportion_outlier_sd","proportion_outlier_mad","proportion_outlier_tukey","outlier_curve","strain_group.y","ST","mecA","mortality","intrahost_index","included","unrelated_to_index","mut_count","scv","vanco_difference","persister_type","intrahost_sampledelay","sample_type","genes"
"BPH2700","exp191116_1_A03",270,0.0262615877097209,26.4193594820953,121.655477778167,840,5.83151170363392,0,0.0166324996710322,5.74895014299891,930,"A",5,"A03","exp191116","1",1.5,"VAN-001",0.0459526488909649,FALSE,FALSE,FALSE,0,0,0,FALSE,"VAN-001","78",1,"Survived",1,FALSE,NA,NA,FALSE,0,NA,NA,"index",NA
"BPH2701","exp191116_1_H07",240,0.0385573028914992,18.5827905710431,130.968111111667,810,6.08053986231435,0,0.0179494313379625,6.06010909661498,930,"H",8,"H07","exp191116","1",1.5,"VAN-001",0.0174737898961082,FALSE,FALSE,FALSE,0,0,0,FALSE,"VAN-001","22",1,NA,0,FALSE,1,NA,FALSE,0,NA,1,"paired-colonising",NA
"BPH2702","exp191116_1_B02",240,0.0266533898491226,26.0059671390265,129.181544444667,930,5.90568412520478,0,0.00816900998025823,5.90568412520478,930,"B",3,"B02","exp191116","1",2,"VAN-002",0.0122493236342378,FALSE,FALSE,FALSE,0,0,0,FALSE,"VAN-002","15",0,"Survived",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BPH2703","exp191116_1_E08",240,0.0283864820639988,24.4182135354853,130.757344444667,930,6.02465351578146,0,0.00964870796354976,6.02465351578146,930,"E",8,"E08","exp191116","1",2,"VAN-003",0.0167431578064992,FALSE,FALSE,FALSE,0,0,0,FALSE,"VAN-003","8",0,"Survived",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BPH2704","exp191116_1_A07",240,0.0266570186823885,26.0035767862226,128.287611111667,795,5.89428259628258,0,0.0218822998012833,5.87652789170951,930,"A",6.5,"A07","exp191116","1",2,"VAN-004",0.0151285467549364,FALSE,FALSE,FALSE,0,0,0,FALSE,"VAN-004","93",1,"Survived",1,TRUE,NA,NA,FALSE,0,NA,NA,"index",NA
"BPH2705","exp191116_1_D09",270,0.0268693019997704,25.8233870210557,120.297138889167,900,6.05072499053224,30,0.0175757437041775,6.02092591699758,930,"D",9,"D09","exp191116","1",2,"VAN-004",0.0668923316625279,FALSE,FALSE,FALSE,0,0,0,FALSE,"VAN-004","93",1,NA,0,TRUE,0,0,FALSE,0,"Persistent",10,"paired-invasive",NA
"BPH2706","exp191116_1_A11",240,0.0270822298160629,25.5941695077423,123.280611111667,750,5.64236069049246,0,0.00864882454367273,5.54265423767932,930,"A",6,"A11","exp191116","1",2,"VAN-005",0.0023094010767585,FALSE,FALSE,FALSE,0,0,0,FALSE,"VAN-005","508",0,"Survived",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BPH2707","exp191116_1_D04",210,0.0277092725885893,25.0149901389105,132.242611111667,930,6.10467644764225,0,0.0157354005378545,6.10467644764225,930,"D",4,"D04","exp191116","1",2,"VAN-006",0.0055075705472861,FALSE,FALSE,FALSE,0,0,0,FALSE,"VAN-006","8",0,"Survived",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BPH2708","exp191116_1_C07",195,0.029053116967542,23.8619076145038,140.283611111667,765,6.08485328723539,0,0.0293257355759872,6.04944338275997,930,"C",8.5,"C07","exp191116","1",1.5,"VAN-007",0.0346987031457949,FALSE,FALSE,FALSE,0,0,0,FALSE,"VAN-007","97",0,"Survived",1,TRUE,NA,NA,FALSE,0,NA,NA,"index",NA
"BPH2709","exp191116_1_C02",210,0.0291163152924029,23.8061435177824,135.043611111667,780,6.23461184960444,0,0.0177223437093863,6.21556982881099,930,"C",2,"C02","exp191116","1",2,"VAN-007",0.019672315572906,FALSE,FALSE,FALSE,0,0,0,FALSE,"VAN-007","97",0,NA,0,TRUE,0,0,FALSE,0.5,"Persistent",5,"paired-invasive",NA
"BPH2710","exp191116_1_B08",300,0.0247568304859972,27.9982197620976,118.240611111667,930,6.32153322048658,0,0.0113937476905416,6.32153322048658,930,"B",7,"B08","exp191116","1",2,"VAN-008",0.009,FALSE,FALSE,FALSE,0,0,0,FALSE,"VAN-008","239",1,"Died",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
