"sample_id","well_id","time_of_max_rate_OD","max_rate_OD","doubling_time_OD","AUC_OD","time_of_max_OD","max_OD","time_of_min_OD","min_OD","end_point_OD","end_point_timepoint_OD","experiment","well","plate","replicate","sd","outlier_sd","outlier_mad","outlier_tukey","proportion_outlier_sd","proportion_outlier_mad","proportion_outlier_tukey","outlier_curve","strain_group","ST","mecA","mortality","intrahost_index","included","unrelated_to_index","mut_count","scv","vanco_difference","persister_type","intrahost_sampledelay","sample_type","genes"
"BPH2700","exp191116_1_A03",270,0.0263028366697045,26.3778482200158,121.4948666665,840,5.83297128380733,60,0.00981728577448714,5.75027019909819,930,"exp191116","A03","1",1.5,0.0459526488909649,FALSE,FALSE,FALSE,0,0,0,FALSE,"VAN-001","78",1,"Survived",1,FALSE,NA,NA,FALSE,0,NA,NA,"index",NA
"BPH2701","exp191116_1_H07",240,0.0387209302629984,18.4990063328876,130.8075,810,6.08179239838878,45,0.0141222083544769,6.06142915271426,930,"exp191116","H07","1",1.5,0.0174737898961082,FALSE,FALSE,FALSE,0,0,0,FALSE,"VAN-001","22",1,NA,0,FALSE,1,NA,FALSE,0,NA,1,"paired-colonising",NA
"BPH2702","exp191116_1_B02",240,0.0268990512487165,25.7718225245773,126.346977777667,930,5.8339101759289,40,0.00347093894184739,5.8339101759289,930,"exp191116","B02","1",2,0.0122493236342378,FALSE,FALSE,FALSE,0,0,0,FALSE,"VAN-002","15",0,"Survived",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BPH2703","exp191116_1_E08",230,0.0287039561059198,24.1510698307843,129.622577777667,930,6.11361676357744,70,5.0070549001687e-05,6.11361676357744,930,"exp191116","E08","1",2,0.0167431578064992,FALSE,FALSE,FALSE,0,0,0,FALSE,"VAN-003","8",0,"Survived",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BPH2704","exp191116_1_A07",240,0.0270547785959006,25.6715284021119,127.336333333333,800,5.9243562231199,25,-0.0802697249353133,5.86388909055652,930,"exp191116","A07","1",2,0.14588762798812,FALSE,FALSE,FALSE,0,0,0,FALSE,"VAN-004","93",1,"Survived",1,TRUE,NA,NA,FALSE,0,NA,NA,"index",NA
"BPH2705","exp191116_1_D09",260,0.0269315546345374,25.8256574195136,121.754666666667,880,6.00207779376811,40,-0.0720794401309756,5.93811455021756,930,"exp191116","D09","1",2,0.138805499410746,FALSE,FALSE,FALSE,0,0,0,FALSE,"VAN-004","93",1,NA,0,TRUE,0,0,FALSE,0,"Persistent",10,"paired-invasive",NA
"BPH2706","exp191116_1_A11",240,0.0270033967655639,25.6851335919925,122.275,800,5.67174703438734,30,0.00727756213144504,5.60152378158297,930,"exp191116","A11","1",2,0.0023094010767585,FALSE,FALSE,FALSE,0,0,0,FALSE,"VAN-005","508",0,"Survived",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BPH2707","exp191116_1_D04",220,0.0274449769513896,25.2799663009569,130.39,930,5.89805950898624,30,0.0117073711909789,5.89805950898624,930,"exp191116","D04","1",2,0.0055075705472861,FALSE,FALSE,FALSE,0,0,0,FALSE,"VAN-006","8",0,"Survived",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BPH2708","exp191116_1_C07",195,0.0293730534216654,23.6015643743418,140.123,765,6.08693939972355,30,0.022548898918376,6.05076343885925,930,"exp191116","C07","1",1.5,0.0346987031457949,FALSE,FALSE,FALSE,0,0,0,FALSE,"VAN-007","97",0,"Survived",1,TRUE,NA,NA,FALSE,0,NA,NA,"index",NA
"BPH2709","exp191116_1_C02",220,0.0292250397190831,23.7188706921148,137.339333333333,810,6.17309957723386,40,0.0142333901061499,6.14801994011858,930,"exp191116","C02","1",2,0.019672315572906,FALSE,FALSE,FALSE,0,0,0,FALSE,"VAN-007","97",0,NA,0,TRUE,0,0,FALSE,0.5,"Persistent",5,"paired-invasive",NA
