"sample_id","well_id","time_of_max_rate_OD","max_rate_OD","doubling_time_OD","AUC_OD","time_of_max_OD","max_OD","time_of_min_OD","min_OD","end_point_OD","end_point_timepoint_OD","experiment","well","plate","replicate","sd","outlier_sd","outlier_mad","outlier_tukey","proportion_outlier_sd","proportion_outlier_mad","proportion_outlier_tukey","outlier_curve","strain_group","ST","mecA","mortality","intrahost_index","included","unrelated_to_index","mut_count","scv","vanco_difference","persister_type","intrahost_sampledelay","sample_type","genes"
"BPH2700","exp191116_1_A03",270,0.0263028366697045,26.3778482200158,121.4948666665,840,5.83297128380733,60,0.00981728577448714,5.75027019909819,930,"exp191116","A03","1",1.5,0.0459526488909649,FALSE,FALSE,FALSE,0,0,0,FALSE,"VAN-001","78",1,"Survived",1,FALSE,NA,NA,FALSE,0,NA,NA,"index",NA
"BPH2701","exp191116_1_H07",240,0.0387209302629984,18.4990063328876,130.8075,810,6.08179239838878,45,0.0141222083544769,6.06142915271426,930,"exp191116","H07","1",1.5,0.0174737898961082,FALSE,FALSE,FALSE,0,0,0,FALSE,"VAN-001","22",1,NA,0,FALSE,1,NA,FALSE,0,NA,1,"paired-colonising",NA
"BPH2702","exp191116_1_B02",240,0.0269558790841388,25.7141374761472,129.020933333,930,5.90700418130406,30,0.00275920857672502,5.90700418130406,930,"exp191116","B02","1",2,0.0122493236342378,FALSE,FALSE,FALSE,0,0,0,FALSE,"VAN-002","15",0,"Survived",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BPH2703","exp191116_1_E08",240,0.0286889712990149,24.1607540868412,130.596733333,930,6.02597357188074,60,-0.000741760280183996,6.02597357188074,930,"exp191116","E08","1",2,0.0167431578064992,FALSE,FALSE,FALSE,0,0,0,FALSE,"VAN-003","8",0,"Survived",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BPH2704","exp191116_1_A07",240,0.0268123416306402,25.851828364116,128.127,795,5.89179717191558,15,-0.0808503150731015,5.87337652838214,930,"exp191116","A07","1",2,0.14588762798812,FALSE,FALSE,FALSE,0,0,0,FALSE,"VAN-004","93",1,"Survived",1,TRUE,NA,NA,FALSE,0,NA,NA,"index",NA
"BPH2705","exp191116_1_D09",270,0.026876256907324,25.814625180683,119.957,900,6.04757362720488,30,-0.0272982616826385,6.01777455367022,930,"exp191116","D09","1",2,0.138805499410746,FALSE,FALSE,FALSE,0,0,0,FALSE,"VAN-004","93",1,NA,0,TRUE,0,0,FALSE,0,"Persistent",10,"paired-invasive",NA
"BPH2706","exp191116_1_A11",240,0.0272458571875621,25.4404614906508,123.12,750,5.64395979474002,30,0.00469339225489662,5.54397429377859,930,"exp191116","A11","1",2,0.0023094010767585,FALSE,FALSE,FALSE,0,0,0,FALSE,"VAN-005","508",0,"Survived",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BPH2707","exp191116_1_D04",210,0.0280117618236054,24.7448619949293,132.082,930,6.10599650374153,30,0.0121819908478879,6.10599650374153,930,"exp191116","D04","1",2,0.0055075705472861,FALSE,FALSE,FALSE,0,0,0,FALSE,"VAN-006","8",0,"Survived",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BPH2708","exp191116_1_C07",195,0.0293730534216654,23.6015643743418,140.123,765,6.08693939972355,30,0.022548898918376,6.05076343885925,930,"exp191116","C07","1",1.5,0.0346987031457949,FALSE,FALSE,FALSE,0,0,0,FALSE,"VAN-007","97",0,"Survived",1,TRUE,NA,NA,FALSE,0,NA,NA,"index",NA
"BPH2709","exp191116_1_C02",210,0.0292799426639021,23.6731058020306,134.883,780,6.2371849703332,30,0.0181266368178448,6.21688988491027,930,"exp191116","C02","1",2,0.019672315572906,FALSE,FALSE,FALSE,0,0,0,FALSE,"VAN-007","97",0,NA,0,TRUE,0,0,FALSE,0.5,"Persistent",5,"paired-invasive",NA
